OS Version: Microsoft Windows NT 10.0.17763.0;;;;;;;;
CLR Version: 4.0.30319.42000;;;;;;;;
Processor Count: 4;;;;;;;;
;;;;;;;;
Statistics        Avg      Stdev        Max;;;;;;;;
  Reqs/sec      8722.00     540.95   10000.10;;;;;;;;
  Latency       11.46ms     2.63ms   380.73ms;;;;;;;;
  Latency Distribution;;;;;;;;
     50%     9.99ms;;;;;;;;
     75%    12.00ms;;;;;;;;
     90%    21.00ms;;;;;;;;
     95%    24.00ms;;;;;;;;
     99%    27.00ms;;;;;;;;
  HTTP codes:;;;;;;;;
    1xx - 0, 2xx - 567003, 3xx - 0, 4xx - 0, 5xx - 0;;;;;;;;
    others - 0;;;;;;;;
  Throughput:     3.57MB/s;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
TS (ms);CPU time (ms);Private Mem (B);Working Set (B);Allocated Mem (B);Gen0 collections;Gen1 collections;Gen2 collections;ThreadPool size
-2147483648;3937;168669184;142516224;14882504;1;0;0;5
514;1796;252915712;226168832;98361896;2;1;0;4
1029;3562;253235200;226516992;11238184;6;1;0;11
1545;5468;253239296;226623488;8100488;10;1;0;4
2060;7468;253263872;226701312;31362464;14;1;0;4
2576;9406;253263872;226725888;51013928;18;1;0;6
3092;11375;253263872;226746368;23724272;23;1;0;5
3607;13343;253263872;226766848;49645088;27;1;0;3
4123;15234;253267968;226783232;24164296;32;1;0;7
4638;17156;253276160;226807808;70533600;36;1;0;3
5154;18921;253276160;226807808;52530800;41;1;0;4
5670;20843;253276160;226811904;15188800;46;1;0;4
6185;22812;253276160;226840576;50273800;50;1;0;3
6701;24718;253300736;226861056;31425328;55;1;0;4
7217;26671;253317120;226877440;17199192;60;1;0;4
7732;28609;253317120;226885632;46234280;64;1;0;4
8248;30531;253317120;226897920;74186408;68;1;0;5
8763;32421;253317120;226897920;48695352;73;1;0;4
9279;34328;253317120;226897920;30599416;78;1;0;4
9795;36218;253321216;226906112;58659304;82;1;0;7
10310;38140;253321216;226914304;24258752;87;1;0;7
10826;40140;253321216;226914304;52419984;91;1;0;4
11342;41984;253321216;226930688;23021064;96;1;0;0
11857;43921;253329408;226947072;58084624;100;1;0;3
12373;45828;253329408;226947072;29033456;105;1;0;4
12888;47781;253329408;226955264;58502672;109;1;0;4
13404;49765;253329408;226955264;26301200;114;1;0;4
13920;51687;253329408;226963456;64132224;118;1;0;4
14435;53578;253329408;226963456;41122416;123;1;0;7
14951;55468;253329408;226967552;19784440;128;1;0;4
15467;57359;253329408;226967552;41034688;132;1;0;4
15982;59203;253366272;227004416;14073128;137;1;0;4
16498;61140;253366272;227016704;41242288;141;1;0;4
17013;63093;253366272;227016704;60287800;145;1;0;4
17529;64984;253366272;227020800;23254256;150;1;0;4
18045;66968;253366272;227045376;47754088;154;1;0;4
18560;68937;253366272;227045376;72740400;158;1;0;3
19076;70890;253366272;227045376;39571904;163;1;0;1
19592;72859;253366272;227053568;14121672;168;1;0;4
20107;74734;253366272;227057664;31711408;172;1;0;6
20623;76640;253366272;227057664;16788256;177;1;0;1
21138;78578;253366272;227065856;39562704;181;1;0;3
21654;80437;253366272;227065856;62036776;185;1;0;3
22170;82359;253366272;227065856;23309520;190;1;0;4
22685;84312;253366272;227065856;43686560;194;1;0;5
23201;86203;253366272;227065856;14030400;199;1;0;5
23717;88078;253366272;227065856;39256416;203;1;0;5
24232;90031;253366272;227065856;58581504;207;1;0;5
24748;92031;253366272;227069952;14268744;212;1;0;5
25263;93921;253366272;227090432;35732400;216;1;0;4
25779;95843;253366272;227094528;53535336;220;1;0;4
26295;97703;253366272;227094528;61286088;224;1;0;4
26810;99718;253366272;227094528;23518712;229;1;0;1
27326;101656;253366272;227094528;51115896;233;1;0;4
27842;103562;253366272;227094528;71920424;237;1;0;3
28357;105515;253366272;227098624;25054640;242;1;0;5
28873;107437;253366272;227098624;41522360;246;1;0;4
29388;109328;253366272;227098624;59650784;250;1;0;1
29904;111156;253366272;227102720;15576624;255;1;0;4
30420;113046;253366272;227102720;38407640;259;1;0;5
30935;114984;253366272;227102720;66162264;263;1;0;2
31451;116906;253366272;227102720;22619168;268;1;0;5
31967;118859;253366272;227102720;45693840;272;1;0;5
32482;120765;253366272;227102720;66769232;276;1;0;5
32998;122703;253386752;227115008;23632024;281;1;0;4
33513;124640;253386752;227115008;47096608;285;1;0;1
34029;126468;253386752;227123200;71517800;289;1;0;3
34545;128421;253386752;227123200;22930096;294;1;0;5
35060;130281;253386752;227127296;51178352;298;1;0;5
35576;132171;253386752;227127296;72245312;302;1;0;5
36092;134093;253386752;227143680;30930456;307;1;0;4
36607;135968;253300736;227094528;51462136;311;1;0;1
37123;137937;253317120;227131392;19603768;316;1;0;1
37638;139796;253317120;227131392;34336072;320;1;0;1
38154;141734;253317120;227131392;65603912;324;1;0;5
38670;143640;253317120;227131392;29195792;329;1;0;3
39201;145625;253317120;227131392;57158168;333;1;0;3
39717;147437;253317120;227131392;14204104;338;1;0;5
40232;149343;253317120;227131392;37333808;342;1;0;5
40748;151296;253317120;227131392;58334384;346;1;0;5
41263;153234;253317120;227131392;17069384;351;1;0;4
41779;155265;253317120;227131392;28426928;355;1;0;1
42295;157171;253317120;227131392;47161000;359;1;0;5
42810;159125;253317120;227131392;60281712;363;1;0;5
43326;161109;253317120;227131392;28369496;368;1;0;5
43842;163046;253317120;227131392;51622376;372;1;0;4
44357;164953;253317120;227131392;73500488;376;1;0;4
44873;166828;253317120;227131392;30069336;381;1;0;4
45388;168781;253317120;227131392;56065480;385;1;0;4
45904;170671;253317120;227131392;69706128;389;1;0;5
46420;172562;253317120;227131392;32872856;394;1;0;5
46935;174421;253317120;227135488;59299480;398;1;0;4
47451;176375;253317120;227147776;23340008;403;1;0;5
47967;178343;253317120;227147776;50168800;407;1;0;2
48482;180265;253317120;227147776;14060920;412;1;0;4
48998;182171;253317120;227147776;30846840;416;1;0;5
49513;184187;253317120;227147776;51468408;420;1;0;3
50029;186109;253317120;227147776;65347352;424;1;0;5
50545;188031;253317120;227147776;15909176;429;1;0;4
51060;189859;253317120;227151872;35401592;433;1;0;3
51576;191734;253317120;227151872;58150704;437;1;0;5
52092;193718;253317120;227151872;24113392;442;1;0;5
52607;195640;253317120;227151872;42532848;446;1;0;4
53123;197484;253317120;227151872;63537656;450;1;0;4
53638;199468;253317120;227155968;18879984;455;1;0;3
54154;201359;253317120;227155968;37352856;459;1;0;1
54670;203296;253317120;227155968;52142632;463;1;0;4
55185;205156;253317120;227155968;66615760;467;1;0;3
55701;207046;253317120;227155968;25283432;472;1;0;5
56217;208968;253399040;227233792;37399080;476;1;0;4
56732;210968;253399040;227233792;55433456;480;1;0;1
57248;212875;253399040;227233792;18487064;485;1;0;5
57763;214703;253399040;227233792;39242648;489;1;0;3
58279;216609;253399040;227233792;58139336;493;1;0;1
58795;218531;253399040;227233792;74089664;497;1;0;3
59310;220390;253399040;227233792;34146440;502;1;0;4
59826;222328;253399040;227233792;57186552;506;1;0;3
60342;224171;253399040;227233792;14225784;511;1;0;4
60857;226140;253399040;227233792;32930656;515;1;0;2
61373;228109;253399040;227237888;55703896;519;1;0;2
61888;229937;253399040;227237888;67779968;523;1;0;4
62404;231828;253399040;227237888;26054896;528;1;0;5
62920;233734;253399040;227237888;47217688;532;1;0;4
63435;235671;253399040;227237888;68175024;536;1;0;4
63951;237656;253399040;227237888;24000344;541;1;0;3
64467;239562;253399040;227237888;47904760;545;1;0;5
64984;240296;253399040;227237888;24891976;547;1;0;0
65486;240296;253427712;227262464;24908360;547;1;0;0
65988;240296;253399040;227246080;24924744;547;1;0;0
66504;240296;253427712;227262464;24941128;547;1;0;0
