Latency, ms;;;;;;
name / grid count;0;4;8;12;16;20
classic;4,67;37,00;77,40;111,52;159,40;199,14
classic-72;4,83;39,75;77,96;119,15;165,55;205,60
classic-72-lnx;10,68;49,42;86,16;130,10;168,49;211,73
classic-72-net5;4,80;30,39;53,52;77,21;99,54;123,36
classic-72-net5-lnx;10,70;44,49;74,03;103,11;135,35;164,55
legacy;54,35;585,18;1140,00;1800,00;2440,00;3320,00
;;;;;;
;;;;;;
;;;;;;
Latency, ms (Direct Event);;;;;;
name / grid count;0;4;8;12;16;20
classic;3,73;3,98;4,16;4,27;4,46;4,66
classic-72;3,86;4,19;4,31;4,51;4,72;4,80
classic-72-lnx;9,38;10,57;10,20;10,34;10,54;11,02
classic-72-net5;3,89;4,15;4,30;4,45;4,48;4,72
classic-72-net5-lnx;9,35;9,92;10,03;10,30;10,52;10,67
legacy;11,46;13,21;14,37;15,70;16,78;18,09
;;;;;;
;;;;;;
;;;;;;
Reqs/s;;;;;;
name / grid count;0;4;8;12;16;20
classic;21394,74;2702,14;1292,37;896,68;627,56;502,21
classic-72;20682,68;2515,36;1283,02;840,03;604,94;486,34
classic-72-lnx;9363,95;2024,25;1162,64;770,95;594,64;471,85
classic-72-net5;20841,92;3291,46;1868,72;1295,53;1004,56;810,31
classic-72-net5-lnx;9339,48;2249,81;1352,25;969,74;739,95;606,61
legacy;1839,49;170,20;86,76;54,77;40,35;29,37
;;;;;;
;;;;;;
;;;;;;
Reqs/s (Direct Event);;;;;;
name / grid count;0;4;8;12;16;20
classic;26827,31;25141,89;24011,63;23404,98;22433,03;21431,32
classic-72;25886,33;23841,61;23183,04;22144,78;21166,95;20836,56
classic-72-lnx;10654,94;9453,49;9797,53;9669,91;9486,16;9075,12
classic-72-net5;25679,82;24071,65;23251,73;22455,35;22301,17;21173,27
classic-72-net5-lnx;10693,33;10077,40;9968,81;9706,03;9506,12;9367,50
legacy;8722,00;7566,76;6959,78;6369,61;5960,48;5526,14
;;;;;;
;;;;;;
;;;;;;
Throughput, MB/s;;;;;;
name / grid count;0;4;8;12;16;20
classic;17,12;31,57;28,44;29,02;26,76;26,64
classic-72;16,61;29,41;28,27;27,19;25,82;25,80
classic-72-lnx;7,55;23,67;25,60;24,92;25,41;25,09
classic-72-net5;16,75;38,49;41,19;41,98;42,97;43,07
classic-72-net5-lnx;7,54;26,30;29,80;31,47;31,64;32,29
legacy;3,00;1,99;1,89;1,75;1,69;1,54
;;;;;;
;;;;;;
;;;;;;
Throughput, MB/s (Direct Event);;;;;;
name / grid count;0;4;8;12;16;20
classic;9,26;12,73;16,03;19,44;22,31;24,83
classic-72;9,01;12,14;15,54;18,46;21,11;24,20
classic-72-lnx;3,75;4,78;6,46;7,87;9,21;10,20
classic-72-net5;8,96;12,28;15,61;18,74;22,26;24,61
classic-72-net5-lnx;3,77;5,10;6,58;7,91;9,24;10,57
legacy;3,57;4,06;4,53;4,89;5,28;5,55
;;;;;;
;;;;;;
;;;;;;
Avg RAM, MB;;;;;;
name / grid count;0;4;8;12;16;20
classic;28,51;204,62;274,75;261,32;236,78;176,62
classic-72;19,21;218,27;264,19;262,68;262,52;228,60
classic-72-lnx;20,15;279,35;433,66;392,77;428,76;454,69
classic-72-net5;19,82;21,72;31,98;52,36;72,26;90,47
classic-72-net5-lnx;20,43;21,40;41,73;52,02;79,98;96,75
legacy;46,62;121,43;207,64;220,54;203,75;174,96
;;;;;;
;;;;;;
;;;;;;
Avg RAM, MB (Direct Event);;;;;;
name / grid count;0;4;8;12;16;20
classic;27,31;29,71;29,03;30,00;27,89;28,32
classic-72;18,01;18,59;18,82;22,59;18,86;26,51
classic-72-lnx;18,33;18,86;19,03;19,22;19,08;20,11
classic-72-net5;17,79;17,72;17,72;17,51;17,07;16,98
classic-72-net5-lnx;18,34;17,89;18,17;18,63;17,68;18,58
legacy;39,28;41,58;38,48;36,28;39,84;39,42
;;;;;;
;;;;;;
;;;;;;
Avg CPU, %;;;;;;
name / grid count;0;4;8;12;16;20
classic;82,62;91,85;91,30;90,78;90,81;90,80
classic-72;83,32;91,56;91,09;90,96;91,91;91,53
classic-72-lnx;40,93;75,92;80,39;80,61;83,59;83,30
classic-72-net5;81,91;92,69;94,41;94,58;95,23;94,73
classic-72-net5-lnx;39,62;72,28;76,40;77,92;79,66;80,22
legacy;94,41;93,64;94,15;93,25;93,28;91,54
;;;;;;
;;;;;;
;;;;;;
Avg CPU, % (Direct Event);;;;;;
name / grid count;0;4;8;12;16;20
classic;78,53;81,14;79,50;81,29;80,19;82,89
classic-72;78,77;81,32;81,48;81,85;83,09;82,44
classic-72-lnx;34,62;35,92;37,82;38,40;39,66;40,39
classic-72-net5;78,95;80,85;81,38;82,36;81,80;80,81
classic-72-net5-lnx;34,02;36,50;36,70;37,60;38,59;39,46
legacy;88,93;90,76;91,02;91,46;90,91;89,96
;;;;;;
;;;;;;
;;;;;;
Gen0 collection count;;;;;;
name / grid count;0;4;8;12;16;20
classic;1174;212;203;219;210;221
classic-72;1154;194;201;205;202;215
classic-72-lnx;549;92;72;68;69;72
classic-72-net5;1204;3730;1952;1232;897;734
classic-72-net5-lnx;564;2611;1429;919;631;499
legacy;709;472;281;258;267;283
;;;;;;
;;;;;;
;;;;;;
Gen0 collection count (Direct Event);;;;;;
name / grid count;0;4;8;12;16;20
classic;836;1088;1330;1620;1786;2071
classic-72;828;1055;1304;1220;1717;1167
classic-72-lnx;354;436;577;714;803;924
classic-72-net5;848;1094;1345;1623;1850;2126
classic-72-net5-lnx;367;479;600;730;825;989
legacy;547;620;686;742;796;846
;;;;;;
;;;;;;
;;;;;;
Gen1 collection count;;;;;;
name / grid count;0;4;8;12;16;20
classic;2;105;101;109;105;110
classic-72;2;97;100;102;101;109
classic-72-lnx;3;46;36;34;34;36
classic-72-net5;9;107;873;597;446;363
classic-72-net5-lnx;2;877;703;453;315;248
legacy;4;236;139;133;139;179
;;;;;;
;;;;;;
;;;;;;
Gen1 collection count (Direct Event);;;;;;
name / grid count;0;4;8;12;16;20
classic;4;2;2;2;2;2
classic-72;3;2;2;2;2;2
classic-72-lnx;4;3;3;2;3;3
classic-72-net5;4;4;5;5;3;4
classic-72-net5-lnx;3;4;3;4;3;4
legacy;1;2;1;2;1;3
;;;;;;
;;;;;;
;;;;;;
Gen2 collection count;;;;;;
name / grid count;0;4;8;12;16;20
classic;1;1;1;1;1;1
classic-72;1;1;1;1;1;5
classic-72-lnx;1;1;1;1;1;1
classic-72-net5;1;3;14;10;6;2
classic-72-net5-lnx;1;2;2;1;2;1
legacy;2;5;1;11;29;75
;;;;;;
;;;;;;
;;;;;;
Gen2 collection count (Direct Event);;;;;;
name / grid count;0;4;8;12;16;20
classic;1;1;1;1;1;1
classic-72;1;1;1;1;1;1
classic-72-lnx;1;1;1;1;1;1
classic-72-net5;1;1;1;1;1;1
classic-72-net5-lnx;1;1;1;1;1;1
legacy;0;1;0;1;0;1
